field_id;field_name;field_type;field_colour;field_value
00001;START;start_field;;400
00002;Saloniki;property_field;yellow;120
00003;Heraklion;property_field;yellow;120
00004;Ateny;property_field;yellow;120
00005;Płatny Parking;tax_field;;400
00006;Neapol;property_field;red;200
00007;Niebieska?;chance_field;blue;
00008;Mediolan;property_field;red;200
00009;Rzym;property_field;red;240
00010;Więzienie;prison_field;;
00011;Barcelona;property_field;blue;280
00012;Sewilla;property_field;blue;280
00013;Madryt;property_field;blue;320
00014;Czerwona?;chance_field;red;
00015;Liverpool;property_field;orange;360
00016;Niebieska?;chance_field;blue;
00017;Glasgow;property_field;orange;360
00018;Londyn;property_field;orange;400
00019;Bezpłatny Parking;relax_field;;
00020;Rotterdam;property_field;green;440
00021;Czerwona?;chance_field;red;
00022;Bruksela;property_field;green;440
00023;Amsterdam;property_field;green;480
00024;Niebieska?;chance_field;blue;
00025;Malmo;property_field;violet;520
00026;Goteborg;property_field;violet;520
00027;Sztokholm;property_field;violet;560
00028;Policjant;policeman_field;;00010
00029;Frankfurt;property_field;brown;600
00030;Kolonia;property_field;brown;600
00031;Bonn;property_field;brown;640
00032;Czerwona?;chance_field;red;
00033;Salzburg;property_field;black;700
00034;Innsbruck;property_field;black;700
00035;Podatek Od Wzbogacenia;tax_field;;200
00036;Wiedeń;property_field;black;800
